2001	0	5689
2039	1	367
1286	2	13581
2442	0	6791
2602	2	12313
848	0	9292
2626	0	11129
1186	0	5188
716	3	13212
1215	0	6338
1288	4	11860
2001	0	10147
1415	1	14127
2787	0	8918
848	3	14237
843	0	7623
2537	0	7758
1426	5	12608
182	1	1617
658	6	2465
2191	7	13668
1159	0	8283
2357	8	12188
1833	0	6106
1370	0	9049
226	9	12618
1848	0	8447
1451	8	14433
1415	5	13963
2191	6	1479
1186	2	12277
990	0	6022
960	7	12408
2719	0	4853
1512	10	15456
445	11	14934
771	0	9715
2250	0	8788
2401	11	15690
1027	4	12899
1658	2	13878
1337	3	13753
2909	0	7970
1889	3	3497
785	3	12657
140	4	3054
248	0	6031
1738	0	8296
2276	7	13948
735	9	15602
717	9	14033
2771	3	11688
2909	0	10117
41	0	9873
629	0	8217
1349	12	14678
1798	7	13562
2881	0	9482
19	0	3970
1235	0	10790
41	0	9625
950	9	3062
2454	3	13288
1512	9	14650
1728	7	15718
2677	13	12771
2715	0	6339
140	10	13736
660	0	4470
882	0	10923
2719	0	4821
2677	1	15234
712	11	14619
1425	14	13783
2808	0	4817
1791	9	13801
335	15	14054
1721	4	12212
2198	0	11080
1341	10	3270
559	0	7414
1049	0	10897
1560	1	1584
2709	4	13256
2750	0	8296
478	0	4387
1496	2	11779
87	0	4744
2674	0	7926
444	7	15462
710	0	6446
1159	0	5157
1539	7	12726
1460	0	8303
2881	10	11794
2709	0	6033
1352	10	15280
960	15	15472
423	4	12045
2376	0	9934
958	0	10749
801	0	4745
442	0	9580
478	0	11211
1949	16	13335
142	1	14925
2743	9	14039
2610	10	11629
882	0	4866
2626	10	12277
1703	7	15527
1712	17	12097
838	0	8299
200	7	12621
904	7	12376
2401	11	14640
2847	0	8447
929	18	14472
2084	1	15127
1629	1	1057
2186	9	3341
2853	0	4707
153	4	3143
1974	0	9146
77	0	5212
142	11	3524
2290	0	5357
1441	3	12085
108	0	10183
1869	0	9293
2494	0	6201
1288	5	12608
558	0	6343
2001	7	15461
785	9	12618
1402	4	13820
1257	2	13687
1341	0	3960
1887	10	13736
1426	4	14317
821	0	6964
50	0	10450
1614	0	9336
1796	4	12208
2808	7	14630
1331	0	8920
2743	18	12150
629	5	12608
1199	0	9185
2683	0	6028
1712	0	5718
2674	10	14712
1286	0	10130
1803	0	4707
958	4	11797
47	0	5167
2033	5	13893
277	0	9854
2787	0	8890
2750	4	3466
950	0	7211
2210	0	7537
1611	0	8313
1337	0	5393
1712	17	13537
1199	0	11533
1331	4	3087
442	7	12031
2401	11	12691
208	3	14674
2766	10	11679
2709	18	15429
203	0	9790
1539	4	15481
442	0	8856
200	0	5421
794	0	7892
2047	0	7643
77	0	3968
1541	7	14942
226	0	5205
340	0	5481
2404	0	7035
2256	0	9899
2404	0	7062
696	0	5248
1459	0	6031
882	0	9925
2047	0	6304
142	0	6209
794	0	4527
1887	1	11646
2719	4	11605
2674	0	6532
1005	0	10539
2691	0	5203
2033	0	6888
2250	0	4255
1587	9	12599
1460	0	6396
1755	3	3166
41	6	13072
1617	2	12748
130	2	15684
1707	0	5432
571	0	9603
108	0	10167
712	0	8620
1309	9	3415
949	10	14778
19	0	6209
2442	0	4296
423	2	11642
1091	9	12576
443	0	10138
1339	0	5187
41	4	11826
2719	0	6115
2537	4	14368
208	9	3293
2039	0	9303
2450	0	9015
2111	0	5415
2916	0	5787
1887	9	15467
146	0	11514
950	0	9551
2404	0	10985
2771	2	12312
1703	19	15396
2691	10	12748
2442	9	12031
1917	0	6886
1005	20	15490
1617	8	12188
2546	2	14141
1744	10	12277
670	3	11595
631	0	9370
1738	0	6499
575	2	3371
1305	1	1451
1772	0	8694
2882	10	14192
2882	0	6529
50	9	3085
834	0	7240
1670	0	5127
670	2	14393
1673	0	6012
717	2	15684
717	0	9325
2006	7	11831
904	21	14133
2442	0	8783
801	10	15684
2709	10	13878
1407	13	13934
1233	4	13078
958	7	15557
696	0	9735
1848	7	13092
785	0	8442
696	2	14245
2771	0	4480
1658	0	4342
2546	7	3291
2047	0	5427
848	9	14630
2118	0	7362
182	2	11876
2916	7	13801
1164	0	4792
2766	0	4092
1186	7	14495
2167	0	4872
738	5	12608
660	9	15452
1376	0	5831
2120	0	10557
511	3	12858
1608	0	10964
1292	0	5143
1407	0	9945
1337	7	3246
1693	7	12785
1513	0	5248
2044	4	11787
2120	0	8440
1889	0	4010
1233	0	9576
1806	0	8986
1001	0	4287
1712	5	13963
848	1	15019
222	0	6033
1869	0	4072
77	0	6982
1393	3	11916
1898	0	6022
1630	7	14495
2809	10	11789
1352	0	10809
950	0	7822
2218	0	4872
594	0	7973
340	5	12608
2167	2	12709
1917	0	10990
1630	0	9281
2047	0	5727
1476	4	15706
1215	0	6369
1617	2	14504
637	0	5154
50	0	5125
781	0	9104
1005	0	4548
653	7	3415
1352	0	6062
2427	0	4765
884	0	6209
442	0	5249
1476	16	14894
1758	0	6916
2250	15	3480
1199	0	7673
2067	0	4620
2847	10	11737
2814	0	10517
539	14	14706
44	0	6948
1709	0	10632
571	9	12408
2318	0	4467
1393	10	12229
1887	10	14504
2039	0	5189
771	0	9546
2390	0	6033
1441	10	11642
712	10	11967
1370	3	12359
1869	6	15066
2479	0	7065
1337	10	15684
1512	1	15123
2395	14	14537
2771	2	12748
2256	14	14267
1079	0	5203
2250	0	4261
2118	0	11460
2819	0	6900
1368	3	12479
1974	0	5213
1368	9	14887
1686	13	13656
47	0	5045
394	3	15368
1091	12	3506
2111	0	9277
571	0	8924
277	0	7532
2826	3	3327
2728	10	3093
1292	22	12188
443	3	11897
44	0	10351
785	5	12608
445	11	14909
2651	9	12726
2427	23	15618
1159	5	12608
1892	0	4992
848	0	4154
1877	0	6538
712	0	10544
2404	0	10275
2750	0	4879
2819	5	13963
1476	7	13571
108	0	6873
2222	5	13963
1467	24	13286
277	7	12753
1629	0	4406
1144	0	5622
1376	0	4364
1496	0	10704
637	7	11995
1476	0	9578
2709	0	8790
442	5	12608
882	3	12545
2513	0	5878
1460	25	3375
1630	0	4742
1917	2	13581
2290	0	7248
1608	10	12690
1670	0	8723
712	0	4845
2120	0	6373
1729	8	14129
140	2	13738
2651	0	9382
1280	2	13583
222	0	8890
2616	0	6300
1889	1	2232
848	2	12284
735	4	11688
1806	0	11524
1341	0	5212
1738	0	11442
2625	26	12676
848	0	11156
1001	0	6729
1159	0	8146
2711	4	12920
226	9	12722
670	5	12608
2450	9	13124
2787	0	7040
539	13	14175
1764	3	14218
1707	0	5746
2450	2	12750
575	1	2564
